"Company","Records Breached"
"Adobe Systems",152000000
"Ubuntu",2000000
"Dun & Bradstreet",1000000
"Kroll Background America",1000000
"LexisNexis",1000000
"Slack",500000
"Apple",275000
"Uber",50000
