"Company","Records Breached"
"Rambler.ru",98167935
"Steam",35000000
"Tianya Club",28000000
"Zappos",24000000
"Nexon Korea Corp",13200000
"Chinese gaming websites (three: Duowan 7K7K 178.com)",10000000
"LinkedIn eHarmony Last.fm",8000000
"Gamigo",8000000
"China Software Developer Network",6000000
"Betfair",2300000
"Gawker",1500000
"Sony Pictures",1000000
"Yahoo! Voices",450000
"Formspring",420000
"Writerspace.com",62000
