"Company","Records Breached"
"Greek government",9000000
"Office of the Texas Attorney General",6500000
"State of Texas",3500000
"Syrian government (Syria Files)",2434899
"California Department of Child Support Services",800000
"U.S. Army",392000
"Embassy Cables",251000
"Massachusetts Government",210000
"San Francisco Public Utilities Commission",180000
"U.S. law enforcement (70 different agencies)",123461
