"Company","Records Breached"
"National Archives and Records Administration (U.S. military veterans' records)",76000000
"Tricare",4901432
"Stratfor",935000
"U.S. government (United States diplomatic cables leak)",260000
"Militarysingles.com",163792
"National Guard of the United States",131000
"U.S. Department of Defense",72000
"U.S. Army",50000
